etude,organisme,annee,resultat,url
Global Carbon Budget 2024,Global Carbon Project / Friedlingstein et al. (ESSD),2024,"Référence mondiale: émissions territoriales, basées consommation et transferts dans le commerce (méthode Peters et al. 2011). Pays riches importateurs nets, Chine/Asie exportateurs nets. CO2 fossile.",https://essd.copernicus.org/articles/17/965/2025/
Consumption-based CO2 emissions,"Our World in Data (Ritchie, Rosado, Roser)",2024,Empreinte = émissions domestiques + importées − exportées. Offshoring: UK −27% territorial 1990-2014 mais −11% en consommation; USA +9% territorial mais +17% consommation.,https://ourworldindata.org/consumption-based-co2
Trade in Embodied CO2 (TECO2),OCDE,2021,"Indicateurs production vs demande dérivés des tables entrées-sorties ICIO. 76 économies, 45 industries, 1995-2019.",https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm
Greenhouse gas emission footprints (FIGARO),Eurostat,2025,"Empreinte GES UE basée demande finale (tables FIGARO). ~10,7 t eq/hab (2023). Tous GES, modélisé.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Greenhouse_gas_emission_footprints
L'empreinte carbone de la France 1990-2024,SDES / INSEE,2025,"Empreinte 2024 ~563 MtCO2eq (8,2 t/hab), ~50% importée; territorial ~404 Mt. Rupture méthode 2024 (FIGARO): empreinte 2023 révisée de 644 à 583 Mt.",https://www.statistiques.developpement-durable.gouv.fr/lempreinte-carbone-de-la-france-de-1990-2024
Maîtriser l'empreinte carbone de la France,Haut Conseil pour le Climat,2020,Empreinte ~70% au-dessus des émissions territoriales. Moitié importée (UE dont Allemagne; Asie dont Chine). >3/4 pilotable depuis la France.,https://www.hautconseilclimat.fr/wp-content/uploads/2020/10/hcc_rapport_empreinte-carbone.pdf
Base Empreinte / ADEME,ADEME,2023,"Empreinte France 2022 (provisoire) ~623 MtCO2eq, ~56% liée aux importations. Tous GES.",https://base-empreinte.ademe.fr/
EXIOBASE 3 (EE-MRIO),"Stadler, Wood et al.",2018,"Base multirégionale entrées-sorties de référence pour les empreintes. Depuis 1995, 44 pays + 5 régions, 163 industries.",https://www.exiobase.eu/index.php/about-exiobase
Growth in emission transfers via international trade,"Peters, Minx, Weber, Edenhofer (PNAS)",2011,"Étude fondatrice des transferts d'émissions. Commerce: 4,3 Gt CO2 (1990, 20%) → 7,8 Gt (2008, 26%). Les transferts annulent une partie des baisses affichées.",https://www.pnas.org/doi/10.1073/pnas.1006388108
Mapped: world's largest CO2 importers/exporters,Carbon Brief,2017,"Chine 1er exportateur net, USA 1er importateur net (~2x Japon). Baisses USA/UK en partie dues à la délocalisation.",https://www.carbonbrief.org/mapped-worlds-largest-co2-importers-exporters/
Convergence Eora/WIOD/EXIOBASE,Moran & Wood (Economic Systems Research),2014,"Incertitude des modèles MRIO: après harmonisation du compte satellite, les grandes économies divergent de <10%. Robuste pour la politique.",https://www.tandfonline.com/doi/abs/10.1080/09535314.2014.935298
